2026-03-11 00:15:04.686 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:15:05.183 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry rejected — password matches master password for userId: [1]
2026-03-11 00:15:05.189 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:15:05.261 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry added successfully — userId: [1], account: [Gmail]
2026-03-11 00:15:05.267 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [10], favorite: [false]
2026-03-11 00:15:05.268 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite status updated — entryId: [10], isFavorite: [false]
2026-03-11 00:15:05.272 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:15:05.273 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry rejected — password too short (length: 3)
2026-03-11 00:15:05.277 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Decryption failed for entryId: [null] — returning raw value
2026-03-11 00:15:05.280 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Decryption failed for entryId: [null] — returning raw value
2026-03-11 00:15:05.280 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [2] vault entries for userId: [1]
2026-03-11 00:15:05.287 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:15:05.288 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Duplicate vault entry blocked — userId: [1], account: [Gmail], username: [john@gmail.com]
2026-03-11 00:15:05.290 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [999], favorite: [true]
2026-03-11 00:15:05.291 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite update failed — entry not found: [999]
2026-03-11 00:15:05.296 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [0] vault entries for userId: [99]
2026-03-11 00:15:05.300 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:15:05.301 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry rejected — password is empty
2026-03-11 00:15:05.305 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [10], favorite: [true]
2026-03-11 00:15:05.305 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite status updated — entryId: [10], isFavorite: [true]
2026-03-11 00:15:05.310 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Decryption failed for entryId: [null] — returning raw value
2026-03-11 00:15:05.310 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [1] favorite entries for userId: [1]
2026-03-11 00:15:05.313 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Deleting vault entry — entryId: [10]
2026-03-11 00:15:05.314 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry deleted — entryId: [10]
2026-03-11 00:16:12.356 [http-nio-9095-exec-7] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt â€” username: [Naveenraj01]
2026-03-11 00:16:12.887 [http-nio-9095-exec-7] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA required â€” generating verification code for userId: [1]
2026-03-11 00:16:34.557 [http-nio-9095-exec-6] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-11 00:16:36.814 [http-nio-9095-exec-9] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-11 00:16:37.789 [http-nio-9095-exec-4] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-11 00:16:40.613 [http-nio-9095-exec-7] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-11 00:16:48.173 [http-nio-9095-exec-3] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [10] vault entries for userId: [1]
2026-03-11 00:33:47.570 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:33:47.589 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration failed — email already exists: [john@example.com]
2026-03-11 00:33:47.617 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change master password request — username: [john_doe]
2026-03-11 00:33:47.621 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change password failed — current password incorrect for username: [john_doe]
2026-03-11 00:33:47.658 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:33:47.705 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration successful — userId: [100], username: [john_doe]
2026-03-11 00:33:47.902 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-11 00:33:47.903 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA required — generating verification code for userId: [100]
2026-03-11 00:33:47.916 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Change master password request — username: [john_doe]
2026-03-11 00:33:47.917 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Master password changed successfully — username: [john_doe]
2026-03-11 00:33:47.938 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [ghost]
2026-03-11 00:33:47.939 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login failed — user not found: [ghost]
2026-03-11 00:33:47.997 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:33:48.004 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration successful — userId: [100], username: [john_doe]
2026-03-11 00:33:48.051 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Toggle 2FA request — username: [john_doe], enable: [false]
2026-03-11 00:33:48.053 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA status updated — username: [john_doe], twoFactorEnabled: [false]
2026-03-11 00:33:48.072 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-11 00:33:48.074 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login successful — userId: [100], username: [john_doe]
2026-03-11 00:33:48.105 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login attempt — username: [john_doe]
2026-03-11 00:33:48.107 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Login failed — invalid password for username: [john_doe]
2026-03-11 00:33:48.132 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration attempt — username: [john_doe], email: [john@example.com]
2026-03-11 00:33:48.133 [main] WARN  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Registration failed — username already exists: [john_doe]
2026-03-11 00:33:48.140 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - Toggle 2FA request — username: [john_doe], enable: [true]
2026-03-11 00:33:48.141 [main] INFO  com.revpasswordmanager.serviceimpl.AuthServiceImpl - 2FA status updated — username: [john_doe], twoFactorEnabled: [true]
2026-03-11 00:33:48.781 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:33:48.782 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry rejected — password matches master password for userId: [1]
2026-03-11 00:33:48.788 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:33:48.868 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry added successfully — userId: [1], account: [Gmail]
2026-03-11 00:33:48.881 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [10], favorite: [false]
2026-03-11 00:33:48.882 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite status updated — entryId: [10], isFavorite: [false]
2026-03-11 00:33:48.890 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:33:48.891 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry rejected — password too short (length: 3)
2026-03-11 00:33:48.914 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Decryption failed for entryId: [null] — returning raw value
2026-03-11 00:33:48.915 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Decryption failed for entryId: [null] — returning raw value
2026-03-11 00:33:48.915 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [2] vault entries for userId: [1]
2026-03-11 00:33:48.923 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:33:48.924 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Duplicate vault entry blocked — userId: [1], account: [Gmail], username: [john@gmail.com]
2026-03-11 00:33:48.946 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [999], favorite: [true]
2026-03-11 00:33:48.946 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite update failed — entry not found: [999]
2026-03-11 00:33:48.954 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [0] vault entries for userId: [99]
2026-03-11 00:33:48.963 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Adding vault entry — userId: [1], accountName: [Gmail]
2026-03-11 00:33:48.963 [main] WARN  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry rejected — password is empty
2026-03-11 00:33:48.973 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Updating favorite status — entryId: [10], favorite: [true]
2026-03-11 00:33:48.974 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Favorite status updated — entryId: [10], isFavorite: [true]
2026-03-11 00:33:48.990 [main] ERROR com.revpasswordmanager.serviceimpl.VaultServiceImpl - Decryption failed for entryId: [null] — returning raw value
2026-03-11 00:33:48.990 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Returned [1] favorite entries for userId: [1]
2026-03-11 00:33:49.002 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Deleting vault entry — entryId: [10]
2026-03-11 00:33:49.004 [main] INFO  com.revpasswordmanager.serviceimpl.VaultServiceImpl - Vault entry deleted — entryId: [10]
